TIME,Weight,Load,Velocity,Slope,Eta,Gravity,Rate,Fatigue
0,70,29.16017354985043,1.8706482095615928,3.8395129836088713,1.0,3.4,909.1778081654505,0.0
60,70,29.16017354985043,1.8706482095615928,4.3213597382304165,1.0,3.4,940.4606632891367,54550.66848992703
120,70,29.16017354985043,1.8706482095615928,4.017360556467476,1.0,3.4,920.7241759732087,110978.30828727523
180,70,29.16017354985043,1.8706482095615928,2.732942133746581,1.0,3.4,837.3360965666558,166221.75884566776
240,70,29.16017354985043,1.8706482095615928,3.1987446599562706,1.0,3.4,867.5773149704398,216461.9246396671
300,70,29.16017354985043,1.8706482095615928,3.4800079686172105,1.0,3.4,885.8377250532255,268516.56353789347
360,70,29.16017354985043,1.8706482095615928,1.8738015316929408,1.0,3.4,781.5582569793995,321666.827041087
420,70,29.16017354985043,1.8706482095615928,1.2623066587268412,1.0,3.4,741.8582790582033,368560.3224598509
480,70,29.16017354985043,1.8706482095615928,1.3899571249925553,1.0,3.4,750.145708628623,413071.8192033431
540,70,29.16017354985043,1.8706482095615928,1.595353156255213,1.0,3.4,763.4806003288202,458080.5617210605
600,70,29.16017354985043,1.8706482095615928,1.8986046040241624,1.0,3.4,783.1685426374804,503889.3977407897
660,70,29.16017354985043,1.8706482095615928,2.0433400834949347,1.0,3.4,792.5651796224024,550879.5102990385
720,70,29.16017354985043,1.8706482095615928,2.8972071819486445,1.0,3.4,848.0006484298856,598433.4210763826
780,70,29.16017354985043,1.8706482095615928,2.8939032985855717,1.0,3.4,847.7861509706804,649313.4599821757
840,70,29.16017354985043,1.8706482095615928,2.2946954764919245,1.0,3.4,808.883883169255,700180.6290404166
900,70,29.16017354985043,1.8706482095615928,3.2588856131873296,1.0,3.4,871.4818358764804,748713.6620305718
960,70,29.16017354985043,1.8706482095615928,3.6282617958845895,1.0,3.4,895.4627831353954,801002.5721831607
1020,70,29.16017354985043,1.8706482095615928,3.883419168073333,1.0,3.4,912.028321932456,854730.3391712845
1080,70,29.16017354985043,1.8706482095615928,5.409504449402799,1.0,3.4,1011.1060978110462,909452.0384872318
1140,70,29.16017354985043,1.8706482095615928,6.785833718218558,1.0,3.4,1100.4612894895067,970118.4043558945
1200,70,29.16017354985043,1.8706482095615928,6.614751692632762,1.0,3.4,1089.3541601598286,1036146.0817252649
1260,70,29.16017354985043,1.8706482095615928,6.503101039933628,1.0,3.4,1082.1054837718443,1101507.3313348547
1320,70,29.16017354985043,1.8706482095615928,7.431765585482106,1.0,3.4,1142.3970145505762,1166433.6603611654
1380,70,29.16017354985043,1.8706482095615928,8.377435558093008,1.0,3.4,1203.7925857861705,1234977.4812342
1440,70,29.16017354985043,1.8706482095615928,8.657238629012754,1.0,3.4,1221.9581931017574,1307205.0363813704
1500,70,29.16017354985043,1.8706482095615928,8.367399316875744,1.0,3.4,1203.141004599881,1380522.5279674758
1560,70,29.16017354985043,1.8706482095615928,8.391834019620257,1.0,3.4,1204.7273746617636,1452710.9882434686
1620,70,29.16017354985043,1.8706482095615928,7.931190036962273,1.0,3.4,1174.8210635060402,1524994.6307231744
1680,70,29.16017354985043,1.8706482095615928,8.471579481719155,1.0,3.4,1209.9046757718866,1595483.8945335369
1740,70,29.16017354985043,1.8706482095615928,9.554181294501237,1.0,3.4,1280.1902496417404,1668078.17507985
1800,70,29.16017354985043,1.8706482095615928,9.59998545310714,1.0,3.4,1283.1639852620128,1744889.5900583544
1860,70,29.16017354985043,1.8706482095615928,8.976051732517842,1.0,3.4,1242.6564421463438,1821879.4291740751
1920,70,29.16017354985043,1.8706482095615928,8.478955666845701,1.0,3.4,1210.3835585877737,1896438.8157028558
1980,70,29.16017354985043,1.8706482095615928,9.357473183342753,1.0,3.4,1267.4194023048979,1969061.8292181222
2040,70,29.16017354985043,1.8706482095615928,10.366999764796724,1.0,3.4,1332.9607253256145,2045106.993356416
2100,70,29.16017354985043,1.8706482095615928,10.264415762043908,1.0,3.4,1326.3006815142896,2125084.636875953
2160,70,29.16017354985043,1.8706482095615928,9.612426687822284,1.0,3.4,1283.9717054332514,2204662.6777668106
2220,70,29.16017354985043,1.8706482095615928,8.862115832309177,1.0,3.4,1235.259401021902,2281700.980092806
2280,70,29.16017354985043,1.8706482095615928,7.734823787973875,1.0,3.4,1162.0724108288825,2355816.54415412
2340,70,29.16017354985043,1.8706482095615928,6.112114424465764,1.0,3.4,1056.721526051535,2425540.888803853
2400,70,29.16017354985043,1.8706482095615928,5.396150305486323,1.0,3.4,1010.2391089905693,2488944.1803669455
2460,70,29.16017354985043,1.8706482095615928,5.631253924531581,1.0,3.4,1025.5027013736365,2549558.5269063795
2520,70,29.16017354985043,1.8706482095615928,5.049166069346827,1.0,3.4,987.7119102800991,2611088.688988798
2580,70,29.16017354985043,1.8706482095615928,4.991540284130785,1.0,3.4,983.9706812004969,2670351.4036056036
2640,70,29.16017354985043,1.8706482095615928,5.493712139655527,1.0,3.4,1016.5730994027563,2729389.6444776333
2700,70,29.16017354985043,1.8706482095615928,4.706911522493312,1.0,3.4,965.491776384934,2790384.0304417987
2760,70,29.16017354985043,1.8706482095615928,4.430563836259284,1.0,3.4,947.5505024232262,2848313.5370248947
2820,70,29.16017354985043,1.8706482095615928,4.1188195729894455,1.0,3.4,927.3111824942786,2905166.5671702884
2880,70,29.16017354985043,1.8706482095615928,4.319845807802647,1.0,3.4,940.3623746407543,2960805.238119945
2940,70,29.16017354985043,1.8706482095615928,4.56955779988212,1.0,3.4,956.5743839485782,3017226.98059839
3000,70,29.16017354985043,1.8706482095615928,3.6039388725203536,1.0,3.4,893.8836701072594,3074621.443635305
3060,70,29.16017354985043,1.8706482095615928,3.6331475110611855,1.0,3.4,895.7799775931335,3128254.4638417405
3120,70,29.16017354985043,1.8706482095615928,4.835633861785858,1.0,3.4,973.848794986073,3182001.2624973287
3180,70,29.16017354985043,1.8706482095615928,4.725590493988063,1.0,3.4,966.7044680831251,3240432.190196493
3240,70,29.16017354985043,1.8706482095615928,4.176398297537763,1.0,3.4,931.0493562621322,3298434.4582814807
3300,70,29.16017354985043,1.8706482095615928,5.171720551240092,1.0,3.4,995.6684941214422,3354297.4196572085
3360,70,29.16017354985043,1.8706482095615928,5.790250421485026,1.0,3.4,1035.8252039777578,3414037.529304495
3420,70,29.16017354985043,1.8706482095615928,6.6666001544196964,1.0,3.4,1092.7203090503417,3476187.0415431606
3480,70,29.16017354985043,1.8706482095615928,7.674927871255906,1.0,3.4,1158.1837983868204,3541750.260086181
3540,70,29.16017354985043,1.8706482095615928,7.924401883861845,1.0,3.4,1174.380357393648,3611241.2879893905
