TIME,Weight,Load,Velocity,Slope,Eta,Gravity,Rate,Fatigue
0,70,7.811428708586758,1.9981650956012504,-12.64033024732649,1.0,1.6,-114.9116124718933,0.0
60,70,7.811428708586758,1.9981650956012504,-12.65512865452898,1.0,1.6,-115.71691261397433,-6894.696748313599
120,70,7.811428708586758,1.9981650956012504,-11.697698149438805,1.0,1.6,-63.61543228357232,-13837.71150515206
180,70,7.811428708586758,1.9981650956012504,-11.498933461807368,1.0,1.6,-52.79904988511052,-17654.6374421664
240,70,7.811428708586758,1.9981650956012504,-11.868608651502562,1.0,1.6,-72.9160448232733,-20822.58043527303
300,70,7.811428708586758,1.9981650956012504,-12.30609302291968,1.0,1.6,-96.72308173202572,-25197.543124669428
360,70,7.811428708586758,1.9981650956012504,-12.207619151121476,1.0,1.6,-91.36432778876224,-31000.92802859097
420,70,7.811428708586758,1.9981650956012504,-12.048429989448886,1.0,1.6,-82.70156748229337,-36482.787695916704
480,70,7.811428708586758,1.9981650956012504,-13.146579897496252,1.0,1.6,-142.46072026651964,-41444.881744854305
540,70,7.811428708586758,1.9981650956012504,-13.088271623078235,1.0,1.6,-139.28769893856025,-49992.52496084548
600,70,7.811428708586758,1.9981650956012504,-13.264057925624329,1.0,1.6,-148.85364292694072,-58349.786897159094
660,70,7.811428708586758,1.9981650956012504,-13.654200133573262,1.0,1.6,-170.0844126438471,-67281.00547277553
720,70,7.811428708586758,1.9981650956012504,-12.652904177115357,1.0,1.6,-115.59586093910579,-77486.07023140637
780,70,7.811428708586758,1.9981650956012504,-11.840737210505175,1.0,1.6,-71.39933595805016,-84421.82188775271
840,70,7.811428708586758,1.9981650956012504,-10.993695962252602,1.0,1.6,-25.305021331304545,-88705.78204523573
900,70,7.811428708586758,1.9981650956012504,-10.508444004324854,1.0,1.6,1.1014334524610945,-90224.083325114
960,70,7.811428708586758,1.9981650956012504,-10.665535423046368,1.0,1.6,-7.447171818710004,-90157.99731796634
1020,70,7.811428708586758,1.9981650956012504,-10.828251897203343,1.0,1.6,-16.30188151581072,-90604.82762708893
1080,70,7.811428708586758,1.9981650956012504,-11.56265607792609,1.0,1.6,-56.266709013016225,-91582.94051803758
1140,70,7.811428708586758,1.9981650956012504,-11.473671219561465,1.0,1.6,-51.42432847141083,-94958.94305881855
1200,70,7.811428708586758,1.9981650956012504,-11.127101629628697,1.0,1.6,-32.564694715228256,-98044.4027671032
1260,70,7.811428708586758,1.9981650956012504,-11.274310197658837,1.0,1.6,-40.57549473769734,-99998.28445001689
1320,70,7.811428708586758,1.9981650956012504,-11.89839766104875,1.0,1.6,-74.53710398807056,-102432.81413427873
1380,70,7.811428708586758,1.9981650956012504,-12.621784587126369,1.0,1.6,-113.90239421010426,-106905.04037356297
1440,70,7.811428708586758,1.9981650956012504,-12.889545903852408,1.0,1.6,-128.47343712389804,-113739.18402616923
1500,70,7.811428708586758,1.9981650956012504,-12.642804507164762,1.0,1.6,-115.04625681381754,-121447.5902536031
1560,70,7.811428708586758,1.9981650956012504,-13.104696347241076,1.0,1.6,-140.18150004302987,-128350.36566243216
1620,70,7.811428708586758,1.9981650956012504,-13.918682735051501,1.0,1.6,-184.47703433846738,-136761.25566501394
1680,70,7.811428708586758,1.9981650956012504,-14.918616767462911,1.0,1.6,-238.891472821891,-147829.87772532197
1740,70,7.811428708586758,1.9981650956012504,-16.389111563869168,1.0,1.6,-318.912900281739,-162163.36609463542
1800,70,7.811428708586758,1.9981650956012504,-17.709381810855618,1.0,1.6,-390.75940395847397,-181298.14011153975
1860,70,7.811428708586758,1.9981650956012504,-18.574838017829663,1.0,1.6,-437.8558243302435,-204743.70434904817
1920,70,7.811428708586758,1.9981650956012504,-17.623357474475966,1.0,1.6,-386.0781291860578,-231015.05380886278
1980,70,7.811428708586758,1.9981650956012504,-16.266544971986367,1.0,1.6,-312.24306801485847,-254179.74156002625
2040,70,7.811428708586758,1.9981650956012504,-15.688872486226527,1.0,1.6,-280.80727033114465,-272914.32564091776
2100,70,7.811428708586758,1.9981650956012504,-15.471255512356045,1.0,1.6,-268.96498368642716,-289762.7618607864
2160,70,7.811428708586758,1.9981650956012504,-14.963094204773938,1.0,1.6,-241.31184726461777,-305900.66088197206
2220,70,7.811428708586758,1.9981650956012504,-14.485533797772913,1.0,1.6,-215.32395151692668,-320379.3717178491
2280,70,7.811428708586758,1.9981650956012504,-14.543570763083514,1.0,1.6,-218.48220873819804,-333298.80880886473
2340,70,7.811428708586758,1.9981650956012504,-13.841271877529016,1.0,1.6,-180.26448810234393,-346407.7413331566
2400,70,7.811428708586758,1.9981650956012504,-13.22219087033992,1.0,1.6,-146.57532032723716,-357223.61061929725
2460,70,7.811428708586758,1.9981650956012504,-13.04919441215914,1.0,1.6,-137.1611941685076,-366018.1298389315
2520,70,7.811428708586758,1.9981650956012504,-11.802571625539471,1.0,1.6,-69.3224400749369,-374247.80148904194
2580,70,7.811428708586758,1.9981650956012504,-11.788380143348348,1.0,1.6,-68.55016759530628,-378407.1478935382
2640,70,7.811428708586758,1.9981650956012504,-12.252409265300702,1.0,1.6,-93.80171749015446,-382520.15794925654
2700,70,7.811428708586758,1.9981650956012504,-11.729976529770811,1.0,1.6,-65.37195809826514,-388148.2609986658
2760,70,7.811428708586758,1.9981650956012504,-11.188036577314564,1.0,1.6,-35.88065442343728,-392070.5784845617
2820,70,7.811428708586758,1.9981650956012504,-10.36669457547518,1.0,1.6,8.815157884462025,-394223.41774996795
2880,70,7.811428708586758,1.9981650956012504,-10.068732581152316,1.0,1.6,25.029662126686702,-393694.5082769002
2940,70,7.811428708586758,1.9981650956012504,-9.802675694235274,1.0,1.6,39.50795333088294,-392192.728549299
3000,70,7.811428708586758,1.9981650956012504,-9.558016263727373,1.0,1.6,52.82183714645473,-389822.251349446
3060,70,7.811428708586758,1.9981650956012504,-10.44989363539382,1.0,1.6,4.287629086483349,-386652.9411206587
3120,70,7.811428708586758,1.9981650956012504,-10.357323220259584,1.0,1.6,9.325128557882891,-386395.6833754697
3180,70,7.811428708586758,1.9981650956012504,-8.592186915556589,1.0,1.6,105.38036595738456,-385836.1756619967
3240,70,7.811428708586758,1.9981650956012504,-7.496184743860363,1.0,1.6,165.02264316405297,-379513.3537045536
3300,70,7.811428708586758,1.9981650956012504,-8.04583346880195,1.0,1.6,135.1118432898862,-369611.9951147104
